Calorías de actividad
,Tipo de actividad,Valor
Ago 2025,Carrera,2903
Ago 2025,Caminar,1223
Ago 2025,Gimnasio y equipo de fitness,11002
Ago 2025,Senderismo,240
Ago 2025,Ciclismo,903
Sep 2025,Carrera,7201
Sep 2025,Caminar,982
Sep 2025,Gimnasio y equipo de fitness,14676
Sep 2025,Ciclismo,823
Oct 2025,Carrera,7833
Oct 2025,Gimnasio y equipo de fitness,13113
Oct 2025,Ciclismo,707
Nov 2025,Carrera,4169
Nov 2025,Gimnasio y equipo de fitness,5454
Nov 2025,Ciclismo,184
Dic 2025,Carrera,2656
Dic 2025,Gimnasio y equipo de fitness,4307
Dic 2025,Ciclismo,218
Ene 2026,Carrera,552
Ene 2026,Gimnasio y equipo de fitness,2939
Ene 2026,Ciclismo,42
