Fecha,VFC durante la noche,Valor de referencia,Media de 7 días
30 Dic,42ms,30ms - 40ms,37ms
31 Dic,35ms,30ms - 40ms,37ms
1 Ene,38ms,30ms - 40ms,38ms
2 Ene,44ms,30ms - 40ms,39ms
3 Ene,37ms,30ms - 40ms,39ms
4 Ene,--,30ms - 41ms,39ms
5 Ene,31ms,30ms - 41ms,38ms
6 Ene,17ms,30ms - 41ms,32ms
7 Ene,41ms,30ms - 41ms,33ms
8 Ene,36ms,30ms - 41ms,33ms
9 Ene,38ms,30ms - 41ms,32ms
10 Ene,35ms,30ms - 41ms,32ms
11 Ene,33ms,30ms - 41ms,32ms
12 Ene,36ms,30ms - 41ms,33ms
13 Ene,32ms,30ms - 42ms,36ms
14 Ene,36ms,30ms - 42ms,35ms
15 Ene,33ms,30ms - 42ms,35ms
16 Ene,35ms,30ms - 42ms,34ms
17 Ene,35ms,30ms - 42ms,34ms
18 Ene,37ms,30ms - 42ms,35ms
19 Ene,32ms,30ms - 42ms,34ms
20 Ene,33ms,30ms - 42ms,34ms
21 Ene,29ms,31ms - 42ms,33ms
22 Ene,30ms,31ms - 42ms,33ms
23 Ene,26ms,31ms - 42ms,31ms
24 Ene,33ms,31ms - 42ms,31ms
25 Ene,32ms,32ms - 42ms,31ms
26 Ene,35ms,31ms - 42ms,31ms
